,latitude,longitude,address,BOROUGH,NEIGHBORHOOD,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,SALE PRICE,ADDRESS_NEW,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE,property_data,cluster no
186,40.744982,-74.006919,"""515 West 18th Street""",1,CHELSEA,690,1332,"515 west 18th street, 1012",1012,10011,"2,870,000",515 west 18th street,0,1,1,46978,140805,1,186,2
480,40.752077,-73.346412,"""133 West 22nd Street""",1,CHELSEA,798,1537,"133 west 22nd street, 3d",3D,10011,"1,450,000",133 west 22nd street,0,194,194,10225,197612,94,480,2
1168,41.933999,-73.982096,"""206 First Ave""",1,EAST VILLAGE,440,1004,"206 first avenue, 2a",2A,10009,"870,000",206 first avenue,186,5,191,15564,207284,52,1168,2
1325,40.883713,-72.970046,"""20 West Street""",1,FINANCIAL,15,1183,"20 west street, 17a",17A,10004,"360,000",20 west street,0,77,77,80333,1613847,55,1325,2
1357,40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1171,"88 greenwich st, 826",826,10006,"595,000",88 greenwich st,0,6,6,25297,151541,87,1357,2
1710,40.762243,-73.651747,"""130 William Street""",1,FINANCIAL,77,1175,"130 william street, 42d",42D,10038,"2,869,861",130 william street,0,2,2,39779,350000,55,1710,2
3969,40.752477,-73.97113,"""240 East 46th Street""",1,MIDTOWN EAST,1319,1037,"240 east 46 street, 5c",5C,10017,"477,000",240 east 46 street,558,0,558,117472,414127,42,3969,2
4839,40.647416,-73.950325,"""30 E 29 St""",1,MURRAY HILL,858,1342,"30 east 29th street, 19b",19B,10002,"1,280,000",30 east 29th street,0,7,7,180588,229456,10,4839,2
6832,40.775461,-73.955494,"""215 East 81st Street""",1,UPPER EAST SIDE (79-96),1527,1112,"215 east 81st street, 3h",3H,10028,"695,000",215 east 81st street,0,3,3,9200,200000,109,6832,2
7914,40.77368,-73.991801,"""400 West 61st Street""",1,UPPER WEST SIDE (59-79),1171,4829,"400 west 61st street, 21p",21P,10023,"4,064,000",400 west 61st street,317,0,317,144448,352866,50,7914,2
9288,40.681863,-73.954767,"""2 Spencer Pl""",3,BEDFORD STUYVESANT,1999,1002,"6 spencer pl, 2",2,11216,"835,000",6 spencer pl,0,1,1,16066,244619,92,9288,2
9845,40.644037,-73.993941,"""4001 New Utrecht Avenue""",3,BOROUGH PARK,5586,1052,"4001 new utrecht ave, 5n",5N,11219,"667,526",4001 new utrecht ave,0,252,252,5612000,1172005,60,9845,2
