latitude,longitude,address,BOROUGH,NEIGHBORHOOD,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,SALE PRICE,ADDRESS_NEW,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE
40.722645,-73.982379,"""211 East 3rd Street""",1,ALPHABET CITY,386,1002,"211 east 3rd street, 1b",1B,10009,"650,000",211 east 3rd street,0,2,2,7532,112850,10
40.722645,-73.982379,"""211 East 3rd Street""",1,ALPHABET CITY,386,1012,"211 east 3rd street, 6f",6F,10009,"1,797,500",211 east 3rd street,2,0,2,2500,1368,108
40.727081,-73.978191,"""625 E 11 St""",1,ALPHABET CITY,394,1107,"625 east 11th street, a3",A3,10009,"1,370,000",625 east 11th street,1,0,1,4000,1512,66
40.727264,-73.978657,"""613 E 11 St""",1,ALPHABET CITY,394,1207,"613 east 11th street, a3",A3,10009,"1,700,000",613 east 11th street,1,0,1,1287,2976,105
43.453386,-76.504439,"""182 East 2nd Street""",1,ALPHABET CITY,398,1022,"182 east 2nd street, 4a",4A,10009,"1,075,000",182 east 2nd street,1,0,1,2000,1200,81
43.453386,-76.504439,"""182 East 2nd Street""",1,ALPHABET CITY,398,1031,"182 east 2nd street, 5c",5C,10009,"699,000",182 east 2nd street,2,0,2,3267,1619,86
40.721742,-73.979344,"""324 East 4th Street""",1,ALPHABET CITY,373,1005,"324 east 4th street, 4a",4A,10009,"775,000",324 east 4th street,1,0,1,1647,1408,100
40.721742,-73.979344,"""324 East 4th Street""",1,ALPHABET CITY,373,1006,"324 east 4th street, 4b",4B,10009,"770,000",324 east 4th street,1,0,1,2250,636,99
40.721742,-73.979344,"""324 East 4th Street""",1,ALPHABET CITY,373,1011,"324 east 4th street, ph",PH,10009,"2,072,500",324 east 4th street,1,0,1,4000,1766,94
40.722528,-73.977249,"""754 E 6 St""",1,ALPHABET CITY,375,1011,"754 east 6th street, 3e",3E,10009,"860,000",754 east 6th street,4,0,4,2500,3440,90
40.722528,-73.977249,"""754 E 6 St""",1,ALPHABET CITY,375,1018,"754 east 6th street, 5b",5B,10009,"900,000",754 east 6th street,2,1,3,1596,1900,109
40.723932,-73.976352,"""399 E 8 St""",1,ALPHABET CITY,378,1006,"399 east 8th street, 2d",2D,10009,"945,000",399 east 8th street,1,0,1,2750,1720,19
40.723932,-73.976352,"""399 E 8 St""",1,ALPHABET CITY,378,1014,"399 east 8th street, 4d",4D,10009,"960,000",399 east 8th street,2,0,2,1983,2000,23
40.723932,-73.976352,"""399 E 8 St""",1,ALPHABET CITY,378,1019,"399 east 8th street, 6a",6A,10009,"948,534",399 east 8th street,2,0,2,2497,1984,13
40.723932,-73.976352,"""399 E 8 St""",1,ALPHABET CITY,378,1020,"399 east 8th street, 6b",6B,10009,"865,512",399 east 8th street,1,0,1,2810,1300,34
40.723932,-73.976352,"""399 E 8 St""",1,ALPHABET CITY,378,1027,"399 east 8th street, 8a",8A,10009,"1,100,000",399 east 8th street,2,0,2,1191,1072,59
40.723932,-73.976352,"""399 E 8 St""",1,ALPHABET CITY,378,1028,"399 east 8th street, 8b",8B,10009,"1,200,000",399 east 8th street,25,0,25,4710,20500,93
40.721468,-73.983147,"""310 E Houston St""",1,ALPHABET CITY,384,1213,"310 east houston street, 4e",4E,10002,"1,515,000",310 east houston street,18,0,18,2189,7260,116
40.721468,-73.983147,"""310 E Houston St""",1,ALPHABET CITY,384,1224,"310 east houston street, phf",PHF,10002,"949,000",310 east houston street,1,0,1,2380,1336,37
40.645975,-73.978697,"""229 E 2 St""",1,ALPHABET CITY,384,1409,"229 east 2nd street, 4a",4A,10009,"1,675,000",229 east 2nd street,3,0,3,2500,3920,118
40.645975,-73.978697,"""229 E 2 St""",1,ALPHABET CITY,384,1410,"229 east 2nd street, 5a",5A,10009,"1,675,000",229 east 2nd street,2,0,2,2500,1688,108
