RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE,SALE PRICE_BOROUGH,SALE PRICE_NEIGHBORHOOD,SALE PRICE_TAX,SALE PRICE_BUILDING_CLASS
0.0,2.0,2.0,7532,112850,10.0,35225126.574949324,18890182.40240153,32271016.052699663,15639642.256123416
2.0,0.0,2.0,2500,1368,108.0,5063551.579976352,1118861.5774170554,1017245.6915716137,8378411.299899098
1.0,0.0,1.0,4000,1512,66.0,4802954.856186422,293997.18260769907,1017245.6915716137,1924544.175486551
1.0,0.0,1.0,1287,2976,105.0,5063551.579976352,5419054.229409519,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2000,1200,81.0,4802954.856186422,183724.9784801987,1017245.6915716137,17222971.455350507
2.0,0.0,2.0,3267,1619,86.0,836270.3489777793,131389.9189628292,1017245.6915716137,5605166.105268096
1.0,0.0,1.0,1647,1408,100.0,4802954.856186422,2425798.96970885,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,2250,636,99.0,5063551.579976352,8797102.931721237,14936873.340818262,9199411.590265727
1.0,0.0,1.0,4000,1766,94.0,5063551.579976352,1678745.5627041536,1017245.6915716137,8960340.83311872
4.0,0.0,4.0,2500,3440,90.0,3861703.9736522343,2586542.975325,14936873.340818262,8960340.83311872
2.0,1.0,3.0,1596,1900,109.0,5063551.579976352,556371.9275594271,1017245.6915716137,1671365.5447206842
1.0,0.0,1.0,2750,1720,19.0,836270.3489777793,313278.511004507,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,1983,2000,23.0,5063551.579976352,8797102.931721237,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2497,1984,13.0,4802954.856186422,2324084.2196704787,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2810,1300,34.0,836270.3489777793,163333.5567613615,1017245.6915716137,4690409.247198905
2.0,0.0,2.0,1191,1072,59.0,5063551.579976352,5321808.938237579,1017245.6915716137,9199411.590265727
25.0,0.0,25.0,4710,20500,93.0,3861703.9736522343,3350791.0755468938,14936873.340818262,7197867.78196626
18.0,0.0,18.0,2189,7260,116.0,35225126.574949324,38606141.80533925,14936873.340818262,6669013.842240822
1.0,0.0,1.0,2380,1336,37.0,836270.3489777793,399503.89884084417,1017245.6915716137,5770737.687805806
3.0,0.0,3.0,2500,3920,118.0,3861703.9736522343,1062647.4719546614,1017245.6915716137,1924544.175486551
2.0,0.0,2.0,2500,1688,108.0,5063551.579976352,1118861.5774170554,1017245.6915716137,8378411.299899098
1.0,0.0,1.0,1842,1080,89.0,4802954.856186422,1093383.352206826,1017245.6915716137,9385416.083075248
4.0,0.0,4.0,2500,2273,113.0,5063551.579976352,1118861.5774170554,14936873.340818262,8960340.83311872
1.0,0.0,1.0,2000,1280,99.0,4802954.856186422,1822764.4671913718,1017245.6915716137,9385416.083075248
0.0,2.0,2.0,7532,112850,9.0,35225126.574949324,18890182.40240153,32271016.052699663,15639642.256123416
1.0,0.0,1.0,6004,1440,21.0,836270.3489777793,313278.511004507,1017245.6915716137,9880790.642804565
1.0,0.0,1.0,2400,1280,92.0,4802954.856186422,589630.3988266988,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,2500,634,11.0,5063551.579976352,4374883.979494905,14936873.340818262,8960340.83311872
2.0,0.0,2.0,2175,1620,56.0,5063551.579976352,224439.51144337078,1017245.6915716137,3485652.1876102965
3.0,0.0,3.0,2642,2560,89.0,3861703.9736522343,2586542.975325,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,1600,792,88.0,4802954.856186422,503373.9371805768,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2300,1392,42.0,836270.3489777793,399503.89884084417,1017245.6915716137,8960340.83311872
7.0,1.0,8.0,3683,9620,109.0,5063551.579976352,2316976.659908732,14936873.340818262,9199411.590265727
9.0,0.0,9.0,2178,7839,111.0,3861703.9736522343,3647632.645829967,14936873.340818262,8960340.83311872
1.0,0.0,1.0,2000,1440,82.0,4802954.856186422,937231.2270737746,1017245.6915716137,17222971.455350507
3.0,0.0,3.0,2817,3036,89.0,5063551.579976352,1886526.231223137,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,5280,975,67.0,836270.3489777793,133867.8288689649,1017245.6915716137,8280849.799597023
